Count_of_sizes,Name_ of_colors,Product_code
"['41', '42', '43', '44', '45']",CAMEL,FGC0L80R7421Z
"['42', '43', '45']",KHAKI,FGC0L4001101C
"['39', '40', '41', '42', '43', '44', '45']",NAVY,FGC015050091A
"['39', '40', '41', '42']",SNAYPE,FGC099009251D
"['40', '41', '42', '43']",CASHEW BROWN,FGC015034851A
"['39', '40', '41', '42', '43', '44', '45']",CAMEL,FGC0AA050061A
"['41', '42', '43', '44', '45']",OLIVE GREEN,FGC0V70R7981Z
"['42', '43']",OLIVE GREEN,FGC015035031A
"['39', '40', '41', '42', '43', '44', '45']",CAMEL,FGC0D4050181A
['45'],OLIVE GREEN,FGC0150R7481Z
[],DNAVY M27,FGC0L40R6541Z
[],CHIKU,FGC015010771A
"['39', '40', '41', '42', '43', '44', '45']",CAMEL,FGC015050071A
"['39', '40', '41', '42', '43', '44', '45']",CAMEL,FGC0H9050161A
"['39', '40', '41', '42', '43', '44', '45']",RB BROWN,FGC0H9034201A
"['40', '41', '42', '43', '45']",CAMEL,FGC0150R7441Z
"['39', '40', '41', '42', '43', '44', '45']",STEEL GREY,FGC015037801S
"['39', '40', '41', '42', '43', '44', '45']",GREY,FGC0AX037811S
"['39', '40', '41', '42', '43', '44', '45']",CAMEL,FGC0510AR822A
"['39', '40', '41', '42', '43', '44', '45']",GREY,FGC0T9019051A
"['39', '40', '41', '42', '43', '44', '45']",RUSSIA DBROWN,FGC0BB035861A
"['39', '40', '41', '42', '43', '44', '45']",DNAVY,FGC015023331A
"['39', '40', '41', '42', '43', '44', '45']",BROWN,FGC0510AR832A
"['39', '40', '41', '42', '43', '44', '45']",BROWN,FGC015050171A
['45'],OLIVE GREEN,FGC0L9056091G
"['39', '40', '41', '42', '43', '44', '45']",CHIKU/TOUPE,FGF051046362A
"['43', '44', '45']",OLIVE,FGC0L4002321F
"['39', '40', '41', '42', '43', '44', '45']",GREY,FGC015043531S
"['39', '40', '41', '42', '43', '44', '45']",RUST BROWN,FGC0AR026761A
"['39', '40', '41', '42', '43', '44', '45']",DTAN,FGF0R7046492A
"['39', '40', '41', '42', '43', '44', '45']",LTAN,FGF0C3045482A
"['42', '43', '44', '45']",NTAN,FGC015012071A
"['39', '40', '41', '42', '43', '44', '45']",TAN,FGF0C3046372A
"['39', '40', '41', '42', '43', '44', '45']",BEIGE,FGF051045492A
"['39', '40', '41', '42', '43', '44']",CAMEL,FGC0M6029221A
"['39', '40', '41', '42', '43', '44', '45']",BLACK,FGF0C3046352A
"['40', '41', '42', '43', '44', '45']",CAMEL,FGC0M6032871A
"['40', '41', '42', '43', '44', '45']",LBROWN,FGC089034191A
[],PARIS GREY,FGC015037811S
"['39', '40', '41', '42', '43', '44', '45']",BROWN,FGF0C3046272A
"['39', '40', '41', '42', '43', '44', '45']",BLACK,FGF0C3045472A
"['39', '40', '41', '42', '43', '44', '45']",BROWN,FGC051046392A
"['39', '40', '41', '42', '43', '44', '45']",DTAN,FGF0R7046472A
"['39', '40', '41', '42', '43', '44', '45']",BROWN,FGF018044532A
